HE Provider,Academic year start,Value(£000s)
Total,2022,537797
Total,2022,537973
Total,2017,548076
Total,2018,585323
Total,2021,585606
Total,2021,585636
Total,2015,586666
Total,2016,587449
Total,2022,600927
Total,2022,600957
Total,2017,657664
Total,2021,700096
Total,2019,714896
Total,2022,726677
Total,2020,734071
Total,2020,734083
Total,2018,740169
Total,2016,774754
Total,2015,790928
Total,2019,791155
Total,2017,797463
Total,2018,818237
Total,2015,829440
Total,2020,846483
Total,2016,882981
Total,2017,887385
Total,2021,924041
Total,2018,948346
Total,2019,949114
Total,2022,976478
Total,2020,985593
Total,2020,986412
Total,2021,1028588
Total,2021,1029777
Total,2022,1116942
Total,2022,1117991
Total,2016,1462312
Total,2015,1502747
Total,2017,1512756
Total,2019,1527212
Total,2019,1545057
Total,2020,1546114
Total,2018,1552312
Total,2018,1552574
Total,2020,1558772
Total,2021,1641346
Total,2021,1656170
Total,2022,1706246
Total,2022,1720589
Trinity College Bristol,2018,0
Trinity College Bristol,2019,0
Trinity College Bristol,2020,0
Trinity College Bristol,2021,0
Trinity College Bristol,2022,0
Trinity College Bristol,2023,0
Trinity Laban Conservatoire of Music and Dance,2018,0
Trinity Laban Conservatoire of Music and Dance,2019,0
Trinity Laban Conservatoire of Music and Dance,2021,0
Trinity Laban Conservatoire of Music and Dance,2022,0
Trinity Laban Conservatoire of Music and Dance,2020,8
Trinity Laban Conservatoire of Music and Dance,2017,16
Trinity Laban Conservatoire of Music and Dance,2015,72
Trinity Laban Conservatoire of Music and Dance,2016,78
UK Business College Ltd,2021,0
UK Business College Ltd,2022,0
Ulster University,2015,21522
Ulster University,2016,24780
Ulster University,2017,26482
Ulster University,2018,29054
Ulster University,2021,31375
Ulster University,2019,31498
Ulster University,2020,31736
Ulster University,2022,35442
University Academy 92 Limited,2018,0
University Academy 92 Limited,2019,0
University Academy 92 Limited,2020,0
University Academy 92 Limited,2021,0
University Academy 92 Limited,2022,0
University Centre Peterborough,2017,0
University Centre Peterborough,2018,0
University Centre Peterborough,2019,0
University Centre Peterborough,2020,0
University Centre Peterborough,2021,0
University Centre Peterborough,2022,0
University Centre Quayside Limited,2018,0
University Centre Quayside Limited,2019,0
University Centre Quayside Limited,2020,0
University Centre Quayside Limited,2021,0
University Centre Quayside Limited,2022,0
University Centre Quayside Limited,2023,0
University College Birmingham,2015,0
University College Birmingham,2016,0
University College Birmingham,2017,0
University College Birmingham,2018,0
University College Birmingham,2019,0
University College Birmingham,2020,0
University College Birmingham,2021,0
University College Birmingham,2022,0
University College London,2016,459844
University College London,2019,467714
University College London,2017,476308
University College London,2020,476877
University College London,2018,481083
University College London,2021,524890
University College London,2022,526713
University College London,2015,530436
University College of Estate Management,2017,0
University College of Estate Management,2021,8
University College of Estate Management,2020,28
University College of Estate Management,2022,36
University College of Estate Management,2018,38
University College of Estate Management,2019,77
University for the Creative Arts,2019,26
University for the Creative Arts,2017,42
University for the Creative Arts,2020,89
University for the Creative Arts,2015,104
University for the Creative Arts,2021,145
University for the Creative Arts,2016,147
University for the Creative Arts,2018,226
University for the Creative Arts,2022,1257
University of Bedfordshire,2020,2822
University of Bedfordshire,2015,3059
University of Bedfordshire,2018,3077
University of Bedfordshire,2021,3211
University of Bedfordshire,2017,3267
University of Bedfordshire,2019,3386
University of Bedfordshire,2022,3457
University of Bedfordshire,2016,3618
University of Chester,2016,894
University of Chester,2015,1564
University of Chester,2019,1699
University of Chester,2020,1870
University of Chester,2022,1916
University of Chester,2018,2458
University of Chester,2017,2526
University of Chester,2021,2778
University of Cumbria,2019,234
University of Cumbria,2015,270
University of Cumbria,2016,350
University of Cumbria,2018,375
University of Cumbria,2020,399
University of Cumbria,2017,528
University of Cumbria,2021,744
University of Cumbria,2022,895
University of Derby,2015,1500
University of Derby,2018,1774
University of Derby,2021,1836
University of Derby,2022,1904
University of Derby,2019,2198
University of Derby,2016,2250
University of Derby,2017,2347
University of Derby,2020,2692
University of Durham,2019,45257
University of Durham,2021,50462
University of Durham,2020,51170
University of Durham,2018,51415
University of Durham,2015,51458
University of Durham,2017,52705
University of Durham,2016,53362
University of Durham,2022,57517
University of Gloucestershire,2015,1091
University of Gloucestershire,2016,1321
University of Gloucestershire,2017,1387
University of Gloucestershire,2018,1936
University of Gloucestershire,2019,1938
University of Gloucestershire,2020,2030
University of Gloucestershire,2022,2411
University of Gloucestershire,2021,2590
University of Hertfordshire,2019,8466
University of Hertfordshire,2018,8788
University of Hertfordshire,2015,9409
University of Hertfordshire,2020,9921
University of Hertfordshire,2021,10136
University of Hertfordshire,2017,10529
University of Hertfordshire,2016,11058
University of Hertfordshire,2022,11353
University of London (Institutes and activities),2015,1619
University of London (Institutes and activities),2021,1760
University of London (Institutes and activities),2020,1832
University of London (Institutes and activities),2022,2004
University of London (Institutes and activities),2016,2095
University of London (Institutes and activities),2017,2401
University of London (Institutes and activities),2018,2742
University of London (Institutes and activities),2019,2836
University of Northumbria at Newcastle,2015,5779
University of Northumbria at Newcastle,2016,5896
University of Northumbria at Newcastle,2017,6623
University of Northumbria at Newcastle,2018,8620
University of Northumbria at Newcastle,2019,9970
University of Northumbria at Newcastle,2020,12335
University of Northumbria at Newcastle,2022,16360
University of Northumbria at Newcastle,2021,19892
University of Nottingham,2019,104972
University of Nottingham,2020,114903
University of Nottingham,2017,120148
University of Nottingham,2016,123678
University of Nottingham,2018,124294
University of Nottingham,2015,124621
University of Nottingham,2022,129525
University of Nottingham,2021,131360
University of Plymouth,2019,11875
University of Plymouth,2018,12861
University of Plymouth,2017,13061
University of Plymouth,2015,14099
University of Plymouth,2016,14215
University of Plymouth,2020,16687
University of Plymouth,2022,22201
University of Plymouth,2021,22916
University of South Wales,2016,3902
University of South Wales,2015,4159
University of South Wales,2017,4220
University of South Wales,2018,6636
University of South Wales,2020,7517
University of South Wales,2019,7784
University of South Wales,2021,8235
University of South Wales,2022,8526
University of St Mark and St John,2022,94
University of St Mark and St John,2021,104
University of St Mark and St John,2015,116
University of St Mark and St John,2019,187
University of St Mark and St John,2018,270
University of St Mark and St John,2020,349
University of St Mark and St John,2017,375
University of St Mark and St John,2016,441
University of Suffolk,2015,214
University of Suffolk,2020,283
University of Suffolk,2019,318
University of Suffolk,2018,410
University of Suffolk,2016,434
University of Suffolk,2017,491
University of Suffolk,2021,1069
University of Suffolk,2022,1693
"University of the Arts, London",2017,920
"University of the Arts, London",2015,1236
"University of the Arts, London",2018,1418
"University of the Arts, London",2016,1439
"University of the Arts, London",2019,2021
"University of the Arts, London",2020,2663
"University of the Arts, London",2021,3093
"University of the Arts, London",2022,3731
University of the Highlands and Islands,2015,12738
University of the Highlands and Islands,2022,13864
University of the Highlands and Islands,2016,14431
University of the Highlands and Islands,2020,14464
University of the Highlands and Islands,2021,15174
University of the Highlands and Islands,2019,16261
University of the Highlands and Islands,2018,17113
University of the Highlands and Islands,2017,18029
"University of the West of England, Bristol",2016,12002
"University of the West of England, Bristol",2015,12030
"University of the West of England, Bristol",2017,13622
"University of the West of England, Bristol",2018,13823
"University of the West of England, Bristol",2019,15437
"University of the West of England, Bristol",2020,15454
"University of the West of England, Bristol",2022,16744
"University of the West of England, Bristol",2021,17535
University of Wales Trinity Saint David,2017,227
University of Wales Trinity Saint David,2018,235
University of Wales Trinity Saint David,2019,311
University of Wales Trinity Saint David,2015,326
University of Wales Trinity Saint David,2021,378
University of Wales Trinity Saint David,2016,456
University of Wales Trinity Saint David,2020,617
University of Wales Trinity Saint David,2022,2327
University of Worcester,2020,620
University of Worcester,2021,878
University of Worcester,2019,967
University of Worcester,2015,1026
University of Worcester,2017,1027
University of Worcester,2022,1190
University of Worcester,2018,1230
University of Worcester,2016,1373
Waltham International College Limited,2019,0
Waltham International College Limited,2020,0
Waltham International College Limited,2021,0
Waltham International College Limited,2022,0
Waverley Abbey College,2018,0
Waverley Abbey College,2019,0
Waverley Abbey College,2020,0
Waverley Abbey College,2021,0
Waverley Abbey College,2022,0
Waverley Abbey College,2023,0
West Dean College,2018,0
West Dean College,2019,0
West Dean College,2020,0
West Dean College,2021,0
West Dean College,2022,0
West Dean College,2023,0
Wrexham University,2018,143
Wrexham University,2016,502
Wrexham University,2017,519
Wrexham University,2019,679
Wrexham University,2022,700
Wrexham University,2015,997
Wrexham University,2020,1138
Wrexham University,2021,1543
Writtle University College,2018,0
Writtle University College,2019,0
Writtle University College,2020,0
Writtle University College,2022,3
Writtle University College,2021,10
Writtle University College,2015,24
Writtle University College,2017,62
Writtle University College,2016,98
Year to date total,2023,0
Year to date total,2023,10
Year to date total,2023,33
Year to date total,2023,53
Year to date total,2023,169
Year to date total,2023,187
Year to date total,2023,374
Year to date total,2023,13124
Year to date total,2023,13346
York St John University,2016,70
York St John University,2019,175
York St John University,2020,176
York St John University,2018,196
York St John University,2017,201
York St John University,2021,213
York St John University,2015,322
York St John University,2022,557
